time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,sunshine_duration,daylight_duration,et0_fao_evapotranspiration,precipitation_sum
2014-05-26,27.9,16.0,22.0,29.9,16.5,8.6,27.0,39,24.5,49039.43,57357.12,4.75,1.0
2014-05-27,27.3,17.1,22.4,29.5,18.3,9.0,15.1,33,24.08,52272.62,57486.52,4.57,1.6
2014-05-28,25.6,16.1,21.2,27.9,17.8,9.5,23.0,196,21.99,46088.89,57612.35,4.11,6.0
2014-05-29,23.6,16.0,19.7,24.3,16.9,10.8,35.6,245,19.74,48825.62,57734.45,3.53,0.8
2014-05-30,21.5,15.3,18.2,21.3,14.7,16.6,35.3,16,15.85,36163.62,57852.68,2.83,7.8
2014-05-31,19.1,16.1,17.4,20.3,16.0,15.7,31.0,63,7.7,780.67,57966.89,1.37,16.1
2014-06-01,20.9,15.1,17.6,21.3,15.1,14.8,28.8,117,13.31,24078.49,58076.95,2.28,9.6
2014-06-02,22.0,15.4,18.5,22.2,16.0,14.3,36.7,157,19.06,46038.18,58182.67,3.3,1.2
2014-06-03,22.4,15.5,19.2,23.0,16.6,16.6,31.0,77,15.1,44510.12,58283.92,3.17,2.2
2014-06-04,20.4,16.9,19.0,19.5,15.4,22.2,54.7,110,12.32,22962.94,58380.55,3.3,2.1
2014-06-05,22.9,15.3,19.2,24.6,16.1,10.2,30.6,79,18.17,47678.24,58472.4,3.16,4.5
2014-06-06,28.7,16.0,21.8,30.9,15.1,11.8,31.0,59,26.39,53662.0,58559.32,5.33,0.0
2014-06-07,28.6,15.8,22.2,30.2,15.2,16.9,28.8,12,25.77,54822.9,58641.16,5.36,0.2
2014-06-08,27.0,18.1,22.3,29.6,19.9,13.1,29.9,336,24.42,50040.93,58717.76,4.79,0.2
2014-06-09,24.3,15.9,20.7,24.5,16.1,19.0,38.5,317,25.66,56849.91,58789.0,5.0,0.0
2014-06-10,23.8,15.9,20.1,23.3,16.1,24.1,43.2,310,22.65,56029.67,58854.7,4.74,0.0
2014-06-11,20.1,15.6,18.2,18.2,13.8,26.5,53.3,339,13.86,29675.72,58914.72,3.22,0.6
2014-06-12,21.7,14.7,18.7,20.2,14.0,17.1,36.4,328,18.44,33782.56,58968.94,3.95,0.0
2014-06-13,20.7,15.6,18.2,18.5,14.2,19.5,41.8,303,20.6,53106.32,59017.2,4.16,0.4
2014-06-14,17.9,12.7,15.3,16.2,9.9,24.9,55.4,278,20.24,41812.21,59059.39,3.48,5.7
2014-06-15,19.0,11.5,15.4,18.1,9.2,19.4,40.7,284,21.84,54895.82,59095.84,3.71,1.0
2014-06-16,18.7,12.7,15.7,18.6,11.6,12.7,26.3,298,17.6,50791.96,59126.62,2.9,3.5
2014-06-17,20.5,11.6,16.3,19.0,10.9,13.9,35.6,286,24.22,56190.68,59151.74,4.22,0.1
2014-06-18,17.2,11.4,14.8,13.7,9.6,19.6,40.7,315,21.71,52795.71,59171.21,3.93,0.1
2014-06-19,20.5,11.2,16.4,20.0,8.6,15.9,34.2,255,19.77,55664.48,59185.02,3.93,0.0
2014-06-20,22.2,12.2,17.9,20.6,11.0,11.7,26.3,211,20.01,51867.21,59193.2,4.04,0.0
2014-06-21,19.6,14.0,16.9,16.9,12.6,22.0,47.9,321,24.11,55053.51,59195.76,4.36,0.0
2014-06-22,20.4,11.4,15.7,18.5,9.6,26.1,51.1,257,24.64,57563.43,59192.71,4.18,1.5
2014-06-23,19.0,11.4,15.6,17.3,9.9,20.4,47.9,267,22.31,57197.43,59184.11,3.86,1.0
2014-06-24,20.3,11.5,16.3,17.9,10.1,15.8,31.3,252,18.71,53476.7,59169.95,3.66,0.6
2014-06-25,19.9,11.0,16.1,17.6,9.6,15.5,33.8,301,22.31,54686.27,59150.27,3.98,0.1
2014-06-26,16.4,12.3,14.1,14.8,10.1,16.0,28.8,57,8.25,0.0,59125.14,1.92,7.5
2014-06-27,18.5,11.3,14.7,15.8,9.4,20.9,42.1,317,19.35,56237.66,59094.55,3.35,1.3
2014-06-28,20.1,10.9,16.0,17.8,8.2,19.6,41.4,298,22.9,57399.55,59058.57,4.28,0.0
2014-06-29,23.7,10.0,18.0,22.0,8.7,16.3,37.1,171,26.94,56820.91,59017.26,5.4,0.0
2014-06-30,25.0,16.0,20.7,22.9,13.6,25.9,51.8,166,28.32,56155.2,58970.64,6.49,0.0
2014-07-01,27.8,17.2,22.4,26.3,16.0,24.2,50.0,176,25.84,56089.16,58918.79,6.19,0.3
2014-07-02,22.1,14.4,18.4,20.4,12.4,20.6,42.1,292,19.94,53765.66,58861.74,4.17,0.0
2014-07-03,24.7,13.6,18.7,24.2,13.1,16.9,34.9,270,20.17,44187.11,58799.58,3.92,2.8
2014-07-04,21.9,14.2,17.8,20.5,13.1,16.3,32.4,355,15.84,40783.95,58732.28,3.23,1.0
2014-07-05,23.9,13.8,19.8,23.3,13.2,8.9,19.1,29,19.78,54156.21,58659.19,3.93,0.0
2014-07-06,25.8,14.1,21.0,25.4,13.6,9.4,23.4,79,20.51,51783.46,58580.32,4.41,0.0
2014-07-07,26.2,16.5,22.1,25.9,16.8,10.6,25.6,63,20.93,54918.98,58495.83,4.59,0.0
2014-07-08,27.3,16.9,22.1,29.2,18.2,11.6,25.2,45,21.98,53638.62,58405.91,4.41,1.3
2014-07-09,25.2,17.4,21.5,24.9,17.6,12.6,30.6,69,15.48,42711.15,58310.77,3.61,0.3
2014-07-10,21.9,17.1,19.0,24.2,16.8,17.4,38.9,108,7.41,19611.35,58210.57,1.55,29.1
2014-07-11,25.4,15.7,21.0,26.6,16.7,19.1,33.8,96,18.18,51073.69,58105.51,3.72,5.1
2014-07-12,26.1,18.3,22.4,27.3,19.1,23.2,52.9,118,20.45,44725.3,57995.79,4.35,10.8
2014-07-13,24.6,17.5,21.1,26.1,18.1,15.8,29.2,191,22.26,55044.96,57881.58,4.07,0.2
2014-07-14,24.6,17.1,20.9,27.3,18.3,11.5,22.0,358,20.25,52518.96,57763.08,3.7,1.7
2014-07-15,27.5,16.9,22.3,28.2,18.3,9.4,26.6,92,23.85,53945.32,57640.46,4.75,0.0
